order_id,customer_id,product_id,order_timestamp,quantity,unit_price,currency,country,order_status
ORD-001,CUST-001,PROD-010,2024-01-15 09:23:11,2,29.99,EUR,Netherlands,completed
ORD-002,CUST-002,PROD-005,2024-01-15 10:45:00,1,149.00,EUR,Germany,completed
ORD-003,CUST-003,PROD-010,2024-01-15 14:12:33,1,29.99,EUR,France,cancelled
ORD-004,CUST-001,PROD-003,2024-01-16 08:00:00,3,12.50,EUR,Netherlands,completed
ORD-005,CUST-004,PROD-007,2024-01-16 11:30:22,1,89.95,EUR,Belgium,completed
ORD-006,CUST-005,PROD-001,2024-01-17 16:45:10,2,45.00,EUR,Germany,pending
ORD-007,CUST-002,PROD-008,2024-01-17 17:00:00,1,199.99,EUR,Germany,completed
ORD-008,CUST-006,PROD-004,2024-01-18 09:15:00,5,7.99,EUR,Netherlands,completed
ORD-009,CUST-003,PROD-010,2024-01-18 13:20:45,2,29.99,EUR,France,completed
ORD-010,CUST-007,PROD-006,2024-01-19 10:00:00,1,59.99,EUR,Spain,completed
ORD-011,CUST-001,PROD-002,2024-01-19 14:30:00,1,249.00,EUR,Netherlands,completed
ORD-012,CUST-008,PROD-009,2024-01-20 08:45:00,3,15.00,EUR,Italy,pending
ORD-013,CUST-004,PROD-005,2024-01-20 12:10:00,1,149.00,EUR,Belgium,completed
ORD-014,CUST-009,PROD-003,2024-01-21 09:00:00,2,12.50,EUR,Germany,returned
ORD-015,CUST-010,PROD-001,2024-01-21 15:30:00,1,45.00,EUR,France,completed
ORD-016,CUST-005,PROD-007,2024-01-22 10:20:00,2,89.95,EUR,Germany,completed
ORD-017,CUST-002,PROD-010,2024-01-22 11:00:00,4,29.99,EUR,Germany,completed
ORD-018,CUST-006,PROD-002,2024-01-23 14:00:00,1,249.00,EUR,Netherlands,cancelled
ORD-019,CUST-003,PROD-006,2024-01-23 16:45:00,1,59.99,EUR,France,completed
ORD-020,CUST-001,PROD-004,2024-01-24 08:30:00,10,7.99,EUR,Netherlands,completed
ORD-021,CUST-007,PROD-008,2024-01-24 12:00:00,1,199.99,EUR,Spain,pending
ORD-022,CUST-008,PROD-005,2024-01-25 09:15:00,2,149.00,EUR,Italy,completed
ORD-023,CUST-004,PROD-001,2024-01-25 13:00:00,1,45.00,EUR,Belgium,completed
ORD-024,CUST-010,PROD-003,2024-01-26 10:30:00,4,12.50,EUR,France,completed
ORD-025,CUST-009,PROD-009,2024-01-26 14:20:00,2,15.00,EUR,Germany,completed
ORD-002,CUST-002,PROD-005,2024-01-15 10:45:00,1,149.00,EUR,Germany,completed
